Interface,Signal Name,Description,Direction,PinName,Function Number,Function select register,,,,,,,,
,CAM_VS0,,O,VIVO_D6,7,"FMUX_GPIO_REG_IOCTRL_VIVO_D6
0x0300_1144",,,,,,,,
,CAM_VS0,,O,VIVO_D4,7,"FMUX_GPIO_REG_IOCTRL_VIVO_D4
0x0300_114C",,,,,,,,
,CAM_VS0,,O,PAD_MIPI_TXM3,7,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM3
0x0300_119C",,,,,,,,
Parallel Video Out,VO_CLK0,,O,PAD_MIPI_TXP2,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP2
0x0300_11A8",,,,,,,,
,VO_CLK1,,O,VIVO_CLK,2,"FMUX_GPIO_REG_IOCTRL_VIVO_CLK
0x0300_1160",,,,,,,,
,VO_D[0],,O,PAD_MIPI_TXM2,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM2
0x0300_11A4",,,,,,,,
,VO_D[1],,O,PAD_MIPI_TXP1,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP1
0x0300_11B0",,,,,,,,
,VO_D[2],,O,PAD_MIPI_TXM1,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM1
0x0300_11AC",,,,,,,,
,VO_D[3],,O,PAD_MIPI_TXP0,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP0
0x0300_11B8",,,,,,,,
,VO_D[4],,O,PAD_MIPI_TXM0,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM0
0x0300_11B4",,,,,,,,
,VO_D[5],,O,PAD_MIPIRX0P,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX0P
0x0300_1190",,,,,,,,
,VO_D[6],,O,PAD_MIPIRX0N,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX0N
0x0300_118C",,,,,,,,
,VO_D[7],,O,PAD_MIPIRX1P,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1P
0x0300_1188",,,,,,,,
,VO_D[8],,O,PAD_MIPIRX1N,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1N
0x0300_1184",,,,,,,,
,VO_D[9],,O,PAD_MIPIRX2P,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2P
0x0300_1180",,,,,,,,
,VO_D[10],,O,PAD_MIPIRX2N,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2N
0x0300_117C",,,,,,,,
,VO_D[11],,O,PAD_MIPIRX5P,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX5P
0x0300_1168",,,,,,,,
,VO_D[12],,O,PAD_MIPIRX5N,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX5N
0x0300_1164",,,,,,,,
,VO_D[13],,O,VIVO_D0,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D0
0x0300_115C",,,,,,,,
,VO_D[14],,O,VIVO_D1,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D1
0x0300_1158",,,,,,,,
,VO_D[15],,O,VIVO_D2,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D2
0x0300_1154",,,,,,,,
,VO_D[16],,O,VIVO_D3,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D3
0x0300_1150",,,,,,,,
,VO_D[17],,O,VIVO_D4,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D4
0x0300_114C",,,,,,,,
,VO_D[18],,O,VIVO_D5,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D5
0x0300_1148",,,,,,,,
,VO_D[19],,O,VIVO_D6,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D6
0x0300_1144",,,,,,,,
,VO_D[20],,O,VIVO_D7,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D7
0x0300_1140",,,,,,,,
,VO_D[21],,O,VIVO_D8,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D8
0x0300_113C",,,,,,,,
,VO_D[22],,O,VIVO_D9,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D9
0x0300_1138",,,,,,,,
,VO_D[23],,O,VIVO_D10,2,"FMUX_GPIO_REG_IOCTRL_VIVO_D10
0x0300_1134",,,,,,,,
,VO_D[24],,O,PAD_MIPI_TXM4,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM4
0x0300_1194",,,,,,,,
,VO_D[25],,O,PAD_MIPI_TXP4,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP4
0x0300_1198",,,,,,,,
,VO_D[26],,O,PAD_MIPI_TXM3,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM3
0x0300_119C",,,,,,,,
,VO_D[27],,O,PAD_MIPI_TXP3,2,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP3
0x0300_11A0",,,,,,,,
,VO_D[28],,O,JTAG_CPU_TMS,7,"FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TMS
0x0300_1064",,,,,,,,
,VO_D[29],,O,JTAG_CPU_TCK,7,"FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TCK
0x0300_1068",,,,,,,,
,VO_D[30],,O,JTAG_CPU_TRST,6,"FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TRST
0x0300_106C",,,,,,,,
,VO_D[31],,O,AUX0,5,"FMUX_GPIO_REG_IOCTRL_AUX0
0x0300_1078",,,,,,,,
,VO_D[32],,O,SD1_D3,0,"FMUX_GPIO_REG_IOCTRL_SD1_D3
0x0300_10D0",,,,,,,,
,VO_D[33],,O,SD1_D2,0,"FMUX_GPIO_REG_IOCTRL_SD1_D2
0x0300_10D4",,,,,,,,
,VO_D[34],,O,SD1_D1,0,"FMUX_GPIO_REG_IOCTRL_SD1_D1
0x0300_10D8",,,,,,,,
,VO_D[35],,O,SD1_D0,0,"FMUX_GPIO_REG_IOCTRL_SD1_D0
0x0300_10DC",,,,,,,,
